myco_1	PMC3068306,PMID21490699
myco_2	PMC3312866,PMID22340848
myco_3	PMC2780388,PMID19912637
myco_4	PMC3092853,PMID20619350
myco_5	PMC3180650,PMID21920035
myco_6	PMC3223205,PMID22132148
myco_7	PMC3312857,PMID22353731
myco_8	PMC2291056,PMID18307762
myco_9	PMC2702311,PMID19527524
myco_10	PMID20562284,PMC2916492
myco_11	PMID10215597,PMC1220194
myco_12	PMID20709852,PMC2950481
myco_13	PMID9758835,PMC106594
myco_14	PMID7708682,PMC42254
myco_15	PMID1400249,PMC207379
myco_16	PMID12761390,PMC2323896
myco_17	PMID12427996,PMC166650
myco_18	PMID21653698,PMC3149374
myco_19	PMID9872754,PMC90977
lyso_1	PMID10411730
lyso_1	PMID10620405
lyso_1	PMID11157245,PMC92649
lyso_1	PMID11606211
lyso_1	PMID11812243
lyso_1	PMID1204614
lyso_1	PMID12477497
lyso_1	PMID12634338
lyso_1	PMID12689517
lyso_1	PMID12811767
lyso_1	PMID12831771
lyso_1	PMID12969653
lyso_1	PMID1362171
lyso_1	PMID15908380,PMC1111888
lyso_1	PMID16616565
lyso_1	PMID19041261
lyso_1	PMID21233160
lyso_1	PMID21444326
lyso_1	PMID21484204
lyso_1	PMID21784938,PMC3187384
lyso_1	PMID22484934
lyso_1	PMID25344445
lyso_1	PMID26589461
lyso_1	PMID18305117
lyso_1	PMID17899195
lyso_1	PMID16835020
lyso_1	PMID18305117
lyso_2	PMID11330660
lyso_2	PMID11330672
lyso_2	PMID26580446,PMC4647087
lyso_3	PMID10417260
lyso_3	PMID11157255,PMC92659
lyso_3	PMID11278034
lyso_3	PMID11470157
lyso_3	PMID12468714
lyso_3	PMID12761207
lyso_3	PMID12911059
lyso_3	PMID14730141
lyso_3	PMID15882950
lyso_3	PMID19747569
lyso_3	PMID20024784
lyso_3	PMID21134465
lyso_3	PMID18825379
lyso_3	PMID17331770
lyso_3	PMID9532789
lyso_3	PMID9836434
lyso_3	PMID16947076
lyso_4	PMID23333359
lyso_5	PMID1304882,PMC2142079
lyso_5	PMID15943581,PMC1237137
lyso_5	PMID1631069,PMC49402
